City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Urucara,BR,2021-11-05 21:19:30,-2.5364,-57.76,86.23,56,78,5.88
280,Moose Jaw,CA,2021-11-05 21:19:30,50.4001,-105.5344,59.36,41,0,17.72
281,Staryy Nadym,RU,2021-11-05 21:19:31,65.6118,72.6842,12.74,94,36,1.9
282,Pangnirtung,CA,2021-11-05 21:19:31,66.1451,-65.7125,23.0,54,75,9.22
283,Naron,ES,2021-11-05 21:19:31,43.5167,-8.1528,56.59,82,59,8.21
284,Orizona,BR,2021-11-05 21:19:32,-17.0314,-48.2958,82.56,39,86,7.0
285,Shaoyang,CN,2021-11-05 21:19:32,27.2315,111.4525,64.35,96,100,4.36
286,Jacareacanga,BR,2021-11-05 21:19:33,-6.2222,-57.7528,87.67,54,81,4.74
287,Vestmannaeyjar,IS,2021-11-05 21:19:33,63.4427,-20.2734,41.23,76,100,19.89
288,Amapa,BR,2021-11-05 21:19:33,1.0,-52.0,78.4,85,85,4.25
289,Lata,PT,2021-11-05 21:19:33,40.1629,-8.3327,53.82,67,0,3.65
290,Katherine,AU,2021-11-05 21:19:34,-14.4667,132.2667,80.92,69,92,3.44
